14006,"Alcoholic beverage, beer, light",29,0.24,1.64
14007,"Alcoholic beverage, beer, light, BUD LIGHT",29,0.25,1.3
14005,"Alcoholic beverage, beer, light, BUDWEISER SELECT",28,0.2,0.87
14248,"Alcoholic beverage, beer, light, higher alcohol",46,0.25,0.77
14013,"Alcoholic beverage, beer, light, low carb",27,0.17,0.73
14003,"Alcoholic beverage, beer, regular, all",43,0.46,3.55
14004,"Alcoholic beverage, beer, regular, BUDWEISER",41,0.36,2.97
14034,"Alcoholic beverage, creme de menthe, 72 proof",371,0,41.6
14009,"Alcoholic beverage, daiquiri, canned",125,0,15.7
14010,"Alcoholic beverage, daiquiri, prepared-from-recipe",186,0.06,6.94
14533,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",295,0,0
14037,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",231,0,0
14550,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",250,0,0.1
14551,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",263,0,0
14532,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",275,0,0
14049,"Alcoholic beverage, distilled, gin, 90 proof",263,0,0
14050,"Alcoholic beverage, distilled, rum, 80 proof",231,0,0
14051,"Alcoholic beverage, distilled, vodka, 80 proof",231,0,0
14052,"Alcoholic beverage, distilled, whiskey, 86 proof",250,0,0.1
14415,"Alcoholic beverage, liqueur, coffee with cream, 34 proof",327,2.8,20.9
14414,"Alcoholic beverage, liqueur, coffee, 53 proof",336,0.1,46.8
14534,"Alcoholic beverage, liqueur, coffee, 63 proof",308,0.1,32.2
14239,"Alcoholic beverage, malt beer, hard lemonade",68,0,10.07
14015,"Alcoholic beverage, pina colada, canned",237,0.6,27.6
14017,"Alcoholic beverage, pina colada, prepared-from-recipe",174,0.42,22.66
43479,"Alcoholic beverage, rice (sake)",134,0.5,5
14019,"Alcoholic beverage, tequila sunrise, canned",110,0.3,11.3
14531,"Alcoholic beverage, whiskey sour",149,0,13.17
14027,"Alcoholic beverage, whiskey sour, canned",119,0,13.4
14029,"Alcoholic beverage, whiskey sour, prepared from item 14028",153,0.06,12.82
14025,"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",164,0.1,15.85
43154,"Alcoholic beverage, wine, cooking",50,0.5,6.3
14536,"Alcoholic beverage, wine, dessert, dry",152,0.2,11.67
14057,"Alcoholic beverage, wine, dessert, sweet",160,0.2,13.69
43155,"Alcoholic beverage, wine, light",49,0.07,1.17
14084,"Alcoholic beverage, wine, table, all",83,0.07,2.72
14096,"Alcoholic beverage, wine, table, red",85,0.07,2.61
14101,"Alcoholic Beverage, wine, table, red, Barbera",85,0.07,2.79
14152,"Alcoholic Beverage, wine, table, red, Burgundy",86,0.07,3.69
14098,"Alcoholic Beverage, wine, table, red, Cabernet Franc",83,0.07,2.45
14097,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",83,0.07,2.6
14109,"Alcoholic Beverage, wine, table, red, Carignane",74,0.07,2.4
14105,"Alcoholic Beverage, wine, table, red, Claret",83,0.07,3.01
14158,"Alcoholic Beverage, wine, table, red, Gamay",78,0.07,2.38
14107,"Alcoholic Beverage, wine, table, red, Lemberger",80,0.07,2.46
14602,"Alcoholic Beverage, wine, table, red, Merlot",83,0.07,2.51
14159,"Alcoholic Beverage, wine, table, red, Mouvedre",88,0.07,2.64
14103,"Alcoholic Beverage, wine, table, red, Petite Sirah",85,0.07,2.68
14099,"Alcoholic Beverage, wine, table, red, Pinot Noir",82,0.07,2.31
14108,"Alcoholic Beverage, wine, table, red, Sangiovese",86,0.07,2.62
14100,"Alcoholic Beverage, wine, table, red, Syrah",83,0.07,2.58
14102,"Alcoholic Beverage, wine, table, red, Zinfandel",88,0.07,2.86
14106,"Alcoholic beverage, wine, table, white",82,0.07,2.6
14160,"Alcoholic beverage, wine, table, white, Chardonnay",84,0.07,2.16
14116,"Alcoholic beverage, wine, table, white, Chenin Blanc",80,0.07,3.31
14117,"Alcoholic beverage, wine, table, white, Fume Blanc",82,0.07,2.27
14124,"Alcoholic beverage, wine, table, white, Gewurztraminer",81,0.07,2.6
14135,"Alcoholic beverage, wine, table, white, late harvest",112,0.07,13.39
14125,"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",108,0.07,11.39
14120,"Alcoholic beverage, wine, table, white, Muller Thurgau",76,0.07,3.48
14140,"Alcoholic beverage, wine, table, white, Muscat",82,0.07,5.23
14138,"Alcoholic beverage, wine, table, white, Pinot Blanc",81,0.07,1.94
14113,"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",83,0.07,2.06
14132,"Alcoholic beverage, wine, table, white, Riesling",80,0.07,3.74
14134,"Alcoholic beverage, wine, table, white, Sauvignon Blanc",81,0.07,2.05
14126,"Alcoholic beverage, wine, table, white, Semillon",82,0.07,3.12
14251,"Alcoholic beverages, beer, higher alcohol",58,0.9,0.27
14253,"Alcoholic beverages, wine, rose",83,0.36,3.8
20002,"Amaranth grain, cooked",102,3.8,18.69
20001,"Amaranth grain, uncooked",371,13.56,65.25
28354,"ANDREA'S, Gluten Free Soft Dinner Roll",257,5.65,40.24
4609,"Animal fat, bacon grease",897,0,0
21527,"ARBY'S, roast beef sandwich, classic",242,15.17,22.21
18522,"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",497,4.28,65.02
18524,"ARCHWAY Home Style Cookies, Coconut Macaroon",460,3.02,61.23
18527,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400,4.67,68.16
